x,y,vx,vy,ax,ay
201.783300,101.459700,47.645290,3.716139,-0.395572,-9.832343
202.226149,101.495517,47.641672,3.625352,-0.395511,-9.831587
202.666228,101.527445,47.637983,3.534497,-0.395451,-9.830830
203.109009,101.561579,47.634366,3.443725,-0.395392,-9.830074
203.549020,101.591823,47.630678,3.352883,-0.395332,-9.829318
203.991733,101.624274,47.627062,3.262125,-0.395274,-9.828563
204.431677,101.652837,47.623375,3.171298,-0.395215,-9.827807
204.874323,101.683605,47.619760,3.080553,-0.395158,-9.827052
205.314199,101.710485,47.616074,2.989740,-0.395100,-9.826297
205.756777,101.739571,47.612460,2.899009,-0.395044,-9.825542
206.196586,101.764769,47.608776,2.808210,-0.394987,-9.824787
206.639095,101.792172,47.605163,2.717493,-0.394932,-9.824033
207.078837,101.815689,47.601479,2.626707,-0.394876,-9.823278
207.521279,101.841410,47.597867,2.536005,-0.394822,-9.822524
207.960953,101.863245,47.594185,2.445233,-0.394767,-9.821770
208.403327,101.887285,47.590574,2.354544,-0.394714,-9.821017
208.842934,101.907438,47.586892,2.263787,-0.394660,-9.820263
209.285240,101.929797,47.583282,2.173112,-0.394608,-9.819510
209.724780,101.948269,47.579602,2.082368,-0.394555,-9.818756
210.167018,101.968946,47.575993,1.991707,-0.394503,-9.818003
210.606491,101.985739,47.572313,1.900977,-0.394451,-9.817250
211.048661,102.004734,47.568705,1.810330,-0.394401,-9.816497
211.488066,102.019846,47.565026,1.719614,-0.394350,-9.815745
211.930169,102.037161,47.561420,1.628981,-0.394300,-9.814992
212.369507,102.050593,47.557742,1.538279,-0.394250,-9.814240
212.811542,102.066228,47.554136,1.447660,-0.394202,-9.813488
213.250812,102.077979,47.550459,1.356972,-0.394153,-9.812735
213.692780,102.091934,47.546854,1.266366,-0.394105,-9.811984
214.131983,102.102006,47.543177,1.175692,-0.394057,-9.811232
214.573883,102.114280,47.539573,1.085101,-0.394010,-9.810480
215.013019,102.122673,47.535898,0.994440,-0.393963,-9.809729
215.454851,102.133268,47.532295,0.903863,-0.393918,-9.808978
215.893920,102.139982,47.528620,0.813216,-0.393872,-9.808226
216.335684,102.148897,47.525018,0.722652,-0.393827,-9.807475
216.774686,102.153932,47.521344,0.632020,-0.393782,-9.806724
217.216382,102.161168,47.517742,0.541470,-0.393738,-9.805973
217.655317,102.164524,47.514070,0.450851,-0.393694,-9.805222
218.096946,102.170081,47.510469,0.360315,-0.393651,-9.804472
218.535813,102.171759,47.506797,0.269711,-0.393608,-9.803721
218.977375,102.175637,47.503197,0.179188,-0.393566,-9.802971
219.416175,102.175637,47.499526,0.088598,-0.393524,-9.802221
219.857669,102.177837,47.495926,-0.001911,-0.393483,-9.801471
220.296401,102.176159,47.492256,-0.092488,-0.393441,-9.800720
